captured_at,source,source_url,match_date_query,match_id_fifa,match_no,event_name,home_team,away_team,kickoff,location,city,referee,home_score,away_score,status,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goals_home_detail,goals_away_detail,raw_text_path,data_quality_notes
2026-06-24T22:08:44+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021451,2026-06-24,400021451,51,Switzerland vs. Canada,Switzerland,Canada,2026-06-24T19:00:00Z,BC Place Vancouver,Vancouver,Ramon ABATTI,2,1,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-24T22:08:44+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021448,2026-06-24,400021448,52,Bosnia and Herzegovina vs. Qatar,Bosnia and Herzegovina,Qatar,2026-06-24T19:00:00Z,Seattle Stadium,Seattle,Jesus VALENZUELA,3,1,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021444,2026-06-25,400021444,53,Czechia vs. Mexico,Czechia,Mexico,2026-06-25T01:00:00Z,Mexico City Stadium,Mexico City,Yael FALCON PEREZ,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021445,2026-06-25,400021445,54,South Africa vs. Korea Republic,South Africa,Korea Republic,2026-06-25T01:00:00Z,Monterrey Stadium,Monterrey,Facundo TELLO,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021468,2026-06-25,400021468,55,Curaçao vs. Côte d'Ivoire,Curaçao,Côte d'Ivoire,2026-06-25T20:00:00Z,Philadelphia Stadium,Philadelphia,Glenn NYBERG,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021466,2026-06-25,400021466,56,Ecuador vs. Germany,Ecuador,Germany,2026-06-25T20:00:00Z,New York/New Jersey Stadium,New Jersey,Tori PENSO,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021471,2026-06-25,400021471,57,Japan vs. Sweden,Japan,Sweden,2026-06-25T23:00:00Z,Dallas Stadium,Dallas,Ivan BARTON,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021473,2026-06-25,400021473,58,Tunisia vs. Netherlands,Tunisia,Netherlands,2026-06-25T23:00:00Z,Kansas City Stadium,Kansas City,Katia GARCIA,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021459,2026-06-26,400021459,59,Türkiye vs. USA,Türkiye,USA,2026-06-26T02:00:00Z,Los Angeles Stadium,Los Angeles,Mustapha GHORBAL,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021461,2026-06-26,400021461,60,Paraguay vs. Australia,Paraguay,Australia,2026-06-26T02:00:00Z,San Francisco Bay Area Stadium,San Francisco Bay Area,Clement TURPIN,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-24T11:39:36+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021489,2026-06-26,400021489,61,Norway vs. France,Norway,France,2026-06-26T19:00:00Z,Boston Stadium,Boston,Michael OLIVER,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-24T11:39:36+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021493,2026-06-26,400021493,62,Senegal vs. Iraq,Senegal,Iraq,2026-06-26T19:00:00Z,Toronto Stadium,Toronto,Anthony TAYLOR,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-24T11:39:36+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021479,2026-06-27,400021479,63,Egypt vs. IR Iran,Egypt,IR Iran,2026-06-27T03:00:00Z,Seattle Stadium,Seattle,Szymon MARCINIAK,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-24T11:39:36+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021481,2026-06-27,400021481,64,New Zealand vs. Belgium,New Zealand,Belgium,2026-06-27T03:00:00Z,BC Place Vancouver,Vancouver,Adham MAKHADMEH,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-24T11:39:36+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021485,2026-06-27,400021485,65,Cabo Verde vs. Saudi Arabia,Cabo Verde,Saudi Arabia,2026-06-27T00:00:00Z,Houston Stadium,Houston,Francois LETEXIER,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-24T11:39:36+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021484,2026-06-27,400021484,66,Uruguay vs. Spain,Uruguay,Spain,2026-06-27T00:00:00Z,Guadalajara Stadium,Guadalajara,Ismail ELFATH,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021508,2026-06-27,400021508,67,Panama vs. England,Panama,England,2026-06-27T21:00:00Z,New York/New Jersey Stadium,New Jersey,,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021509,2026-06-27,400021509,68,Croatia vs. Ghana,Croatia,Ghana,2026-06-27T21:00:00Z,Philadelphia Stadium,Philadelphia,,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021497,2026-06-28,400021497,69,Algeria vs. Austria,Algeria,Austria,2026-06-28T02:00:00Z,Kansas City Stadium,Kansas City,,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021495,2026-06-28,400021495,70,Jordan vs. Argentina,Jordan,Argentina,2026-06-28T02:00:00Z,Dallas Stadium,Dallas,,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021505,2026-06-27,400021505,71,Colombia vs. Portugal,Colombia,Portugal,2026-06-27T23:30:00Z,Miami Stadium,Miami,,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021500,2026-06-27,400021500,72,Congo DR vs. Uzbekistan,Congo DR,Uzbekistan,2026-06-27T23:30:00Z,Atlanta Stadium,Atlanta,,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
